  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  1.9500e-13           61.85147952            0.00000000        1410.31558916                  -nan                  -nan 
  2.0000e-13           63.11716037            0.00000000        1439.17519682                  -nan                  -nan 
  2.0500e-13           64.31909323            0.00000000        1466.58124537                  -nan                  -nan 
  2.1000e-13           65.44864973            0.00000000        1492.33699374                  -nan                  -nan 
  2.1500e-13           66.50058459            0.00000000        1516.32284083                  -nan                  -nan 
  2.2000e-13           67.47275411            0.00000000        1538.48990685                  -nan                  -nan 
  2.2500e-13           68.36576579            0.00000000        1558.85204371                  -nan                  -nan 
  2.3000e-13           69.18256663            0.00000000        1577.47644798                  -nan                  -nan 
  2.3500e-13           69.92798097            0.00000000        1594.47312241                  -nan                  -nan 
  2.4000e-13           70.60821430            0.00000000        1609.98356256                  -nan                  -nan 
  2.4500e-13           71.23034709            0.00000000        1624.16921476                  -nan                  -nan 
  2.5000e-13           71.80184970            0.00000000        1637.20041531                  -nan                  -nan 
  2.5500e-13           72.33015357            0.00000000        1649.24661358                  -nan                  -nan 
  2.6000e-13           72.82231203            0.00000000        1660.46863708                  -nan                  -nan 
  2.6500e-13           73.28477426            0.00000000        1671.01353751                  -nan                  -nan 
  2.7000e-13           73.72327989            0.00000000        1681.01218789                  -nan                  -nan 
  2.7500e-13           74.14286289            0.00000000        1690.57937129                  -nan                  -nan 
  2.8000e-13           74.54793734            0.00000000        1699.81573590                  -nan                  -nan 
  2.8500e-13           74.94242885            0.00000000        1708.81079189                  -nan                  -nan 
  2.9000e-13           75.32991569            0.00000000        1717.64612997                  -nan                  -nan 
  2.9500e-13           75.71375125            0.00000000        1726.39821291                  -nan                  -nan 
  3.0000e-13           76.09715048            0.00000000        1735.14034665                  -nan                  -nan 
  3.0500e-13           76.48323420            0.00000000        1743.94369135                  -nan                  -nan 
  3.1000e-13           76.87503393            0.00000000        1752.87737024                  -nan                  -nan 
  3.1500e-13           77.27546492            0.00000000        1762.00785636                  -nan                  -nan 
  3.2000e-13           77.68727807            0.00000000        1771.39787419                  -nan                  -nan 
  3.2500e-13           78.11300133            0.00000000        1781.10506558                  -nan                  -nan 
  3.3000e-13           78.55488125            0.00000000        1791.18065554                  -nan                  -nan 
  3.3500e-13           79.01483354            0.00000000        1801.66832530                  -nan                  -nan 
  3.4000e-13           79.49441007            0.00000000        1812.60345986                  -nan                  -nan 
  3.4500e-13           79.99478732            0.00000000        1824.01288521                  -nan                  -nan 
  3.5000e-13           80.51677849            0.00000000        1835.91514341                  -nan                  -nan 
